Track Name,Artist,Streams,URL,FOG,RAIN,SNOW,HAIL,THUNDER,TORNADO
Despacito - Remix                                                           ,Luis Fonsi       ,1579970,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1579371,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1574761,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1572174,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1559133,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1555627,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1555387,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,1,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1539297,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1532529,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,1,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1526484,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1511374,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1508070,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1486814,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1483823,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1480367,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1467399,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1464518,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1464221,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1460611,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1449843,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1438895,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1430239,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1421707,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1420085,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1381039,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1365357,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1339620,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1333286,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1331428,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1331236,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1313006,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1312589,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1307026,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1240763,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1235453,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1210208,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1207164,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1202179,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1181315,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1181253,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1168373,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1110546,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1100499,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1096640,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1094584,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1088155,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1086289,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1083143,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1071229,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1036905,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1020050,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,1005214,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,0,1,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,1004978,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,998577,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,997800,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,990435,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
Despacito - Remix                                                           ,Luis Fonsi       ,985513,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,0,0,0,0,0,0
