Position,Track Name,Artist,Date,Country
1,Cuando Se Pone a Bailar                                                     ,Rombai           ,12/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,12/01/2017,uy
3,Chantaje                                                                    ,Shakira          ,12/01/2017,uy
4,Safari                                                                      ,J Balvin         ,12/01/2017,uy
5,Vente Pa' Ca                                                                ,Ricky Martin     ,12/01/2017,uy
6,Carnavalintro                                                               ,CHANO            ,12/01/2017,uy
7,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,12/01/2017,uy
8,Piel a Piel                                                                 ,Dame 5           ,12/01/2017,uy
9,Pasarla Bien                                                                ,Marama           ,12/01/2017,uy
10,Traicionera                                                                 ,Sebastian Yatra  ,12/01/2017,uy
1,Cuando Se Pone a Bailar                                                     ,Rombai           ,13/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,13/01/2017,uy
3,Chantaje                                                                    ,Shakira          ,13/01/2017,uy
4,Safari                                                                      ,J Balvin         ,13/01/2017,uy
5,Carnavalintro                                                               ,CHANO            ,13/01/2017,uy
6,Vente Pa' Ca                                                                ,Ricky Martin     ,13/01/2017,uy
7,Piel a Piel                                                                 ,Dame 5           ,13/01/2017,uy
8,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,13/01/2017,uy
9,Pasarla Bien                                                                ,Marama           ,13/01/2017,uy
10,Traicionera                                                                 ,Sebastian Yatra  ,13/01/2017,uy
1,Cuando Se Pone a Bailar                                                     ,Rombai           ,14/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,14/01/2017,uy
3,Chantaje                                                                    ,Shakira          ,14/01/2017,uy
4,Safari                                                                      ,J Balvin         ,14/01/2017,uy
5,Vente Pa' Ca                                                                ,Ricky Martin     ,14/01/2017,uy
6,Carnavalintro                                                               ,CHANO            ,14/01/2017,uy
7,Piel a Piel                                                                 ,Dame 5           ,14/01/2017,uy
8,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,14/01/2017,uy
9,Pasarla Bien                                                                ,Marama           ,14/01/2017,uy
10,Shaky Shaky                                                                 ,Daddy Yankee     ,14/01/2017,uy
1,Cuando Se Pone a Bailar                                                     ,Rombai           ,15/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,15/01/2017,uy
3,Chantaje                                                                    ,Shakira          ,15/01/2017,uy
4,Safari                                                                      ,J Balvin         ,15/01/2017,uy
5,Piel a Piel                                                                 ,Dame 5           ,15/01/2017,uy
6,Carnavalintro                                                               ,CHANO            ,15/01/2017,uy
7,Vente Pa' Ca                                                                ,Ricky Martin     ,15/01/2017,uy
8,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,15/01/2017,uy
9,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,15/01/2017,uy
10,Pasarla Bien                                                                ,Marama           ,15/01/2017,uy
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,16/01/2017,uy
2,Cuando Se Pone a Bailar                                                     ,Rombai           ,16/01/2017,uy
3,Chantaje                                                                    ,Shakira          ,16/01/2017,uy
4,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,16/01/2017,uy
5,Safari                                                                      ,J Balvin         ,16/01/2017,uy
6,Piel a Piel                                                                 ,Dame 5           ,16/01/2017,uy
7,Carnavalintro                                                               ,CHANO            ,16/01/2017,uy
8,Shape of You                                                                ,Ed Sheeran       ,16/01/2017,uy
9,Vente Pa' Ca                                                                ,Ricky Martin     ,16/01/2017,uy
10,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,16/01/2017,uy
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,17/01/2017,uy
2,Cuando Se Pone a Bailar                                                     ,Rombai           ,17/01/2017,uy
3,Chantaje                                                                    ,Shakira          ,17/01/2017,uy
4,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,17/01/2017,uy
5,Safari                                                                      ,J Balvin         ,17/01/2017,uy
6,Carnavalintro                                                               ,CHANO            ,17/01/2017,uy
7,Piel a Piel                                                                 ,Dame 5           ,17/01/2017,uy
8,Shape of You                                                                ,Ed Sheeran       ,17/01/2017,uy
9,Vente Pa' Ca                                                                ,Ricky Martin     ,17/01/2017,uy
10,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,17/01/2017,uy
1,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,18/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,18/01/2017,uy
3,Cuando Se Pone a Bailar                                                     ,Rombai           ,18/01/2017,uy
4,Chantaje                                                                    ,Shakira          ,18/01/2017,uy
5,Safari                                                                      ,J Balvin         ,18/01/2017,uy
6,Carnavalintro                                                               ,CHANO            ,18/01/2017,uy
7,Piel a Piel                                                                 ,Dame 5           ,18/01/2017,uy
8,Shape of You                                                                ,Ed Sheeran       ,18/01/2017,uy
9,Vente Pa' Ca                                                                ,Ricky Martin     ,18/01/2017,uy
10,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,18/01/2017,uy
1,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,19/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,19/01/2017,uy
3,Cuando Se Pone a Bailar                                                     ,Rombai           ,19/01/2017,uy
4,Chantaje                                                                    ,Shakira          ,19/01/2017,uy
5,Safari                                                                      ,J Balvin         ,19/01/2017,uy
6,Piel a Piel                                                                 ,Dame 5           ,19/01/2017,uy
7,Carnavalintro                                                               ,CHANO            ,19/01/2017,uy
8,Shape of You                                                                ,Ed Sheeran       ,19/01/2017,uy
9,Vente Pa' Ca                                                                ,Ricky Martin     ,19/01/2017,uy
10,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,19/01/2017,uy
1,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,20/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,20/01/2017,uy
3,Cuando Se Pone a Bailar                                                     ,Rombai           ,20/01/2017,uy
4,Chantaje                                                                    ,Shakira          ,20/01/2017,uy
5,Piel a Piel                                                                 ,Dame 5           ,20/01/2017,uy
6,Safari                                                                      ,J Balvin         ,20/01/2017,uy
7,Carnavalintro                                                               ,CHANO            ,20/01/2017,uy
8,Shape of You                                                                ,Ed Sheeran       ,20/01/2017,uy
9,Amor para un Rato                                                           ,Olvidate!        ,20/01/2017,uy
10,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,20/01/2017,uy
1,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,21/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,21/01/2017,uy
3,Cuando Se Pone a Bailar                                                     ,Rombai           ,21/01/2017,uy
4,Chantaje                                                                    ,Shakira          ,21/01/2017,uy
5,Piel a Piel                                                                 ,Dame 5           ,21/01/2017,uy
6,Safari                                                                      ,J Balvin         ,21/01/2017,uy
7,Amor para un Rato                                                           ,Olvidate!        ,21/01/2017,uy
8,Carnavalintro                                                               ,CHANO            ,21/01/2017,uy
9,Vente Pa' Ca                                                                ,Ricky Martin     ,21/01/2017,uy
10,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,21/01/2017,uy
1,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,22/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,22/01/2017,uy
3,Cuando Se Pone a Bailar                                                     ,Rombai           ,22/01/2017,uy
4,Chantaje                                                                    ,Shakira          ,22/01/2017,uy
5,Piel a Piel                                                                 ,Dame 5           ,22/01/2017,uy
6,Safari                                                                      ,J Balvin         ,22/01/2017,uy
7,Amor para un Rato                                                           ,Olvidate!        ,22/01/2017,uy
8,Carnavalintro                                                               ,CHANO            ,22/01/2017,uy
9,Vente Pa' Ca                                                                ,Ricky Martin     ,22/01/2017,uy
10,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,22/01/2017,uy
1,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,23/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,23/01/2017,uy
3,Cuando Se Pone a Bailar                                                     ,Rombai           ,23/01/2017,uy
4,Chantaje                                                                    ,Shakira          ,23/01/2017,uy
5,Piel a Piel                                                                 ,Dame 5           ,23/01/2017,uy
6,Safari                                                                      ,J Balvin         ,23/01/2017,uy
7,Carnavalintro                                                               ,CHANO            ,23/01/2017,uy
8,Shape of You                                                                ,Ed Sheeran       ,23/01/2017,uy
9,Amor para un Rato                                                           ,Olvidate!        ,23/01/2017,uy
10,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,23/01/2017,uy
1,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,24/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,24/01/2017,uy
3,Cuando Se Pone a Bailar                                                     ,Rombai           ,24/01/2017,uy
4,Chantaje                                                                    ,Shakira          ,24/01/2017,uy
5,Piel a Piel                                                                 ,Dame 5           ,24/01/2017,uy
6,Shape of You                                                                ,Ed Sheeran       ,24/01/2017,uy
7,Safari                                                                      ,J Balvin         ,24/01/2017,uy
8,Carnavalintro                                                               ,CHANO            ,24/01/2017,uy
9,Amor para un Rato                                                           ,Olvidate!        ,24/01/2017,uy
10,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,24/01/2017,uy
1,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,25/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,25/01/2017,uy
3,Cuando Se Pone a Bailar                                                     ,Rombai           ,25/01/2017,uy
4,Chantaje                                                                    ,Shakira          ,25/01/2017,uy
5,Shape of You                                                                ,Ed Sheeran       ,25/01/2017,uy
6,Piel a Piel                                                                 ,Dame 5           ,25/01/2017,uy
7,Carnavalintro                                                               ,CHANO            ,25/01/2017,uy
8,Safari                                                                      ,J Balvin         ,25/01/2017,uy
9,El Amante                                                                   ,Nicky Jam        ,25/01/2017,uy
10,Amor para un Rato                                                           ,Olvidate!        ,25/01/2017,uy
1,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,26/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,26/01/2017,uy
3,Cuando Se Pone a Bailar                                                     ,Rombai           ,26/01/2017,uy
4,Chantaje                                                                    ,Shakira          ,26/01/2017,uy
5,Shape of You                                                                ,Ed Sheeran       ,26/01/2017,uy
6,Piel a Piel                                                                 ,Dame 5           ,26/01/2017,uy
7,Carnavalintro                                                               ,CHANO            ,26/01/2017,uy
8,Safari                                                                      ,J Balvin         ,26/01/2017,uy
9,Amor para un Rato                                                           ,Olvidate!        ,26/01/2017,uy
10,El Amante                                                                   ,Nicky Jam        ,26/01/2017,uy
1,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,27/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,27/01/2017,uy
3,Cuando Se Pone a Bailar                                                     ,Rombai           ,27/01/2017,uy
4,Chantaje                                                                    ,Shakira          ,27/01/2017,uy
5,Shape of You                                                                ,Ed Sheeran       ,27/01/2017,uy
6,Piel a Piel                                                                 ,Dame 5           ,27/01/2017,uy
7,Carnavalintro                                                               ,CHANO            ,27/01/2017,uy
8,Safari                                                                      ,J Balvin         ,27/01/2017,uy
9,El Amante                                                                   ,Nicky Jam        ,27/01/2017,uy
10,Amor para un Rato                                                           ,Olvidate!        ,27/01/2017,uy
1,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,28/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,28/01/2017,uy
3,Cuando Se Pone a Bailar                                                     ,Rombai           ,28/01/2017,uy
4,Chantaje                                                                    ,Shakira          ,28/01/2017,uy
5,El Amante                                                                   ,Nicky Jam        ,28/01/2017,uy
6,Piel a Piel                                                                 ,Dame 5           ,28/01/2017,uy
7,Amor para un Rato                                                           ,Olvidate!        ,28/01/2017,uy
8,Carnavalintro                                                               ,CHANO            ,28/01/2017,uy
9,Safari                                                                      ,J Balvin         ,28/01/2017,uy
10,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,28/01/2017,uy
1,Despacito (Featuring Daddy Yankee)                                          ,Luis Fonsi       ,29/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,29/01/2017,uy
3,Cuando Se Pone a Bailar                                                     ,Rombai           ,29/01/2017,uy
4,Chantaje                                                                    ,Shakira          ,29/01/2017,uy
