Position,Track Name,Artist,Date,Country
3,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,17/01/2017,ca
4,Castle on the Hill                                                          ,Ed Sheeran       ,17/01/2017,ca
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,17/01/2017,ca
6,Starboy                                                                     ,The Weeknd       ,17/01/2017,ca
7,Fake Love                                                                   ,Drake            ,17/01/2017,ca
8,Say You Won't Let Go                                                        ,James Arthur     ,17/01/2017,ca
9,Closer                                                                      ,The Chainsmokers ,17/01/2017,ca
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,17/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,18/01/2017,ca
2,Paris                                                                       ,The Chainsmokers ,18/01/2017,ca
3,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,18/01/2017,ca
4,Starboy                                                                     ,The Weeknd       ,18/01/2017,ca
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,18/01/2017,ca
6,Castle on the Hill                                                          ,Ed Sheeran       ,18/01/2017,ca
7,Fake Love                                                                   ,Drake            ,18/01/2017,ca
8,Say You Won't Let Go                                                        ,James Arthur     ,18/01/2017,ca
9,Closer                                                                      ,The Chainsmokers ,18/01/2017,ca
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,18/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,19/01/2017,ca
2,Paris                                                                       ,The Chainsmokers ,19/01/2017,ca
3,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,19/01/2017,ca
4,Starboy                                                                     ,The Weeknd       ,19/01/2017,ca
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,19/01/2017,ca
6,Fake Love                                                                   ,Drake            ,19/01/2017,ca
7,Castle on the Hill                                                          ,Ed Sheeran       ,19/01/2017,ca
8,Say You Won't Let Go                                                        ,James Arthur     ,19/01/2017,ca
9,Closer                                                                      ,The Chainsmokers ,19/01/2017,ca
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,19/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,20/01/2017,ca
2,Paris                                                                       ,The Chainsmokers ,20/01/2017,ca
3,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,20/01/2017,ca
4,Starboy                                                                     ,The Weeknd       ,20/01/2017,ca
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,20/01/2017,ca
6,Fake Love                                                                   ,Drake            ,20/01/2017,ca
7,Castle on the Hill                                                          ,Ed Sheeran       ,20/01/2017,ca
8,Say You Won't Let Go                                                        ,James Arthur     ,20/01/2017,ca
9,Closer                                                                      ,The Chainsmokers ,20/01/2017,ca
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,20/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,21/01/2017,ca
2,Paris                                                                       ,The Chainsmokers ,21/01/2017,ca
3,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,21/01/2017,ca
4,Starboy                                                                     ,The Weeknd       ,21/01/2017,ca
5,Fake Love                                                                   ,Drake            ,21/01/2017,ca
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,21/01/2017,ca
7,Castle on the Hill                                                          ,Ed Sheeran       ,21/01/2017,ca
8,Closer                                                                      ,The Chainsmokers ,21/01/2017,ca
9,Say You Won't Let Go                                                        ,James Arthur     ,21/01/2017,ca
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,21/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,22/01/2017,ca
2,Paris                                                                       ,The Chainsmokers ,22/01/2017,ca
3,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,22/01/2017,ca
4,Starboy                                                                     ,The Weeknd       ,22/01/2017,ca
5,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,22/01/2017,ca
6,Fake Love                                                                   ,Drake            ,22/01/2017,ca
7,Castle on the Hill                                                          ,Ed Sheeran       ,22/01/2017,ca
8,Say You Won't Let Go                                                        ,James Arthur     ,22/01/2017,ca
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,22/01/2017,ca
10,Closer                                                                      ,The Chainsmokers ,22/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,23/01/2017,ca
2,Paris                                                                       ,The Chainsmokers ,23/01/2017,ca
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,23/01/2017,ca
4,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,23/01/2017,ca
5,Castle on the Hill                                                          ,Ed Sheeran       ,23/01/2017,ca
6,Fake Love                                                                   ,Drake            ,23/01/2017,ca
7,Starboy                                                                     ,The Weeknd       ,23/01/2017,ca
8,Say You Won't Let Go                                                        ,James Arthur     ,23/01/2017,ca
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,23/01/2017,ca
10,Closer                                                                      ,The Chainsmokers ,23/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,24/01/2017,ca
2,Paris                                                                       ,The Chainsmokers ,24/01/2017,ca
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,24/01/2017,ca
4,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,24/01/2017,ca
5,Castle on the Hill                                                          ,Ed Sheeran       ,24/01/2017,ca
6,Starboy                                                                     ,The Weeknd       ,24/01/2017,ca
7,Fake Love                                                                   ,Drake            ,24/01/2017,ca
8,Say You Won't Let Go                                                        ,James Arthur     ,24/01/2017,ca
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,24/01/2017,ca
10,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,24/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,25/01/2017,ca
2,Paris                                                                       ,The Chainsmokers ,25/01/2017,ca
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,25/01/2017,ca
4,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,25/01/2017,ca
5,Castle on the Hill                                                          ,Ed Sheeran       ,25/01/2017,ca
6,Starboy                                                                     ,The Weeknd       ,25/01/2017,ca
7,Fake Love                                                                   ,Drake            ,25/01/2017,ca
8,Say You Won't Let Go                                                        ,James Arthur     ,25/01/2017,ca
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,25/01/2017,ca
10,Closer                                                                      ,The Chainsmokers ,25/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,26/01/2017,ca
2,Paris                                                                       ,The Chainsmokers ,26/01/2017,ca
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,26/01/2017,ca
4,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,26/01/2017,ca
5,Castle on the Hill                                                          ,Ed Sheeran       ,26/01/2017,ca
6,Starboy                                                                     ,The Weeknd       ,26/01/2017,ca
7,Fake Love                                                                   ,Drake            ,26/01/2017,ca
8,Say You Won't Let Go                                                        ,James Arthur     ,26/01/2017,ca
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,26/01/2017,ca
10,Closer                                                                      ,The Chainsmokers ,26/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,27/01/2017,ca
2,Paris                                                                       ,The Chainsmokers ,27/01/2017,ca
3,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,27/01/2017,ca
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,27/01/2017,ca
5,Castle on the Hill                                                          ,Ed Sheeran       ,27/01/2017,ca
6,Starboy                                                                     ,The Weeknd       ,27/01/2017,ca
7,Fake Love                                                                   ,Drake            ,27/01/2017,ca
8,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,27/01/2017,ca
9,Say You Won't Let Go                                                        ,James Arthur     ,27/01/2017,ca
10,T-Shirt                                                                     ,Migos            ,27/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,28/01/2017,ca
2,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,28/01/2017,ca
3,Paris                                                                       ,The Chainsmokers ,28/01/2017,ca
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,28/01/2017,ca
5,Castle on the Hill                                                          ,Ed Sheeran       ,28/01/2017,ca
6,Fake Love                                                                   ,Drake            ,28/01/2017,ca
7,Starboy                                                                     ,The Weeknd       ,28/01/2017,ca
8,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,28/01/2017,ca
9,Say You Won't Let Go                                                        ,James Arthur     ,28/01/2017,ca
10,T-Shirt                                                                     ,Migos            ,28/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,29/01/2017,ca
2,Paris                                                                       ,The Chainsmokers ,29/01/2017,ca
3,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,29/01/2017,ca
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,29/01/2017,ca
5,Castle on the Hill                                                          ,Ed Sheeran       ,29/01/2017,ca
6,Fake Love                                                                   ,Drake            ,29/01/2017,ca
7,Starboy                                                                     ,The Weeknd       ,29/01/2017,ca
8,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,29/01/2017,ca
9,Say You Won't Let Go                                                        ,James Arthur     ,29/01/2017,ca
10,T-Shirt                                                                     ,Migos            ,29/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,30/01/2017,ca
2,Paris                                                                       ,The Chainsmokers ,30/01/2017,ca
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,30/01/2017,ca
4,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,30/01/2017,ca
5,Castle on the Hill                                                          ,Ed Sheeran       ,30/01/2017,ca
6,Say You Won't Let Go                                                        ,James Arthur     ,30/01/2017,ca
7,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,30/01/2017,ca
8,Starboy                                                                     ,The Weeknd       ,30/01/2017,ca
9,Fake Love                                                                   ,Drake            ,30/01/2017,ca
10,T-Shirt                                                                     ,Migos            ,30/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,31/01/2017,ca
2,Paris                                                                       ,The Chainsmokers ,31/01/2017,ca
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,31/01/2017,ca
4,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,31/01/2017,ca
5,Castle on the Hill                                                          ,Ed Sheeran       ,31/01/2017,ca
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,31/01/2017,ca
7,Say You Won't Let Go                                                        ,James Arthur     ,31/01/2017,ca
8,Fake Love                                                                   ,Drake            ,31/01/2017,ca
9,Starboy                                                                     ,The Weeknd       ,31/01/2017,ca
10,T-Shirt                                                                     ,Migos            ,31/01/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,01/02/2017,ca
2,Paris                                                                       ,The Chainsmokers ,01/02/2017,ca
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,01/02/2017,ca
4,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,01/02/2017,ca
5,Castle on the Hill                                                          ,Ed Sheeran       ,01/02/2017,ca
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/02/2017,ca
7,Say You Won't Let Go                                                        ,James Arthur     ,01/02/2017,ca
8,Fake Love                                                                   ,Drake            ,01/02/2017,ca
9,Starboy                                                                     ,The Weeknd       ,01/02/2017,ca
10,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)                                  ,Major Lazer      ,01/02/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,02/02/2017,ca
2,Paris                                                                       ,The Chainsmokers ,02/02/2017,ca
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02/02/2017,ca
4,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,02/02/2017,ca
5,Castle on the Hill                                                          ,Ed Sheeran       ,02/02/2017,ca
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/02/2017,ca
7,Say You Won't Let Go                                                        ,James Arthur     ,02/02/2017,ca
8,Fake Love                                                                   ,Drake            ,02/02/2017,ca
9,Starboy                                                                     ,The Weeknd       ,02/02/2017,ca
10,Scared to Be Lonely                                                         ,Martin Garrix    ,02/02/2017,ca
1,Shape of You                                                                ,Ed Sheeran       ,03/02/2017,ca
2,Paris                                                                       ,The Chainsmokers ,03/02/2017,ca
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/02/2017,ca
