Position,Track Name,Artist,Date,Country
10,Ohne mein Team                                                              ,Bonez MC         ,27/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,28/01/2017,de
2,Paris                                                                       ,The Chainsmokers ,28/01/2017,de
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,28/01/2017,de
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,28/01/2017,de
5,Castle on the Hill                                                          ,Ed Sheeran       ,28/01/2017,de
6,Solo Dance                                                                  ,Martin Jensen    ,28/01/2017,de
7,Now and Later                                                               ,Sage The Gemini  ,28/01/2017,de
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,28/01/2017,de
9,Alone                                                                       ,Alan Walker      ,28/01/2017,de
10,No Lie                                                                      ,Sean Paul        ,28/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,29/01/2017,de
2,Paris                                                                       ,The Chainsmokers ,29/01/2017,de
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,29/01/2017,de
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,29/01/2017,de
5,Castle on the Hill                                                          ,Ed Sheeran       ,29/01/2017,de
6,Solo Dance                                                                  ,Martin Jensen    ,29/01/2017,de
7,Now and Later                                                               ,Sage The Gemini  ,29/01/2017,de
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,29/01/2017,de
9,Alone                                                                       ,Alan Walker      ,29/01/2017,de
10,Shed a Light                                                                ,Robin Schulz     ,29/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,30/01/2017,de
2,Paris                                                                       ,The Chainsmokers ,30/01/2017,de
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,30/01/2017,de
4,Castle on the Hill                                                          ,Ed Sheeran       ,30/01/2017,de
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,30/01/2017,de
6,Solo Dance                                                                  ,Martin Jensen    ,30/01/2017,de
7,Now and Later                                                               ,Sage The Gemini  ,30/01/2017,de
8,Alone                                                                       ,Alan Walker      ,30/01/2017,de
9,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,30/01/2017,de
10,Shed a Light                                                                ,Robin Schulz     ,30/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,31/01/2017,de
2,Paris                                                                       ,The Chainsmokers ,31/01/2017,de
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,31/01/2017,de
4,Castle on the Hill                                                          ,Ed Sheeran       ,31/01/2017,de
5,Solo Dance                                                                  ,Martin Jensen    ,31/01/2017,de
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,31/01/2017,de
7,Now and Later                                                               ,Sage The Gemini  ,31/01/2017,de
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,31/01/2017,de
9,Alone                                                                       ,Alan Walker      ,31/01/2017,de
10,No Lie                                                                      ,Sean Paul        ,31/01/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,01/02/2017,de
2,Paris                                                                       ,The Chainsmokers ,01/02/2017,de
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,01/02/2017,de
4,Castle on the Hill                                                          ,Ed Sheeran       ,01/02/2017,de
5,Solo Dance                                                                  ,Martin Jensen    ,01/02/2017,de
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/02/2017,de
7,Now and Later                                                               ,Sage The Gemini  ,01/02/2017,de
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,01/02/2017,de
9,Alone                                                                       ,Alan Walker      ,01/02/2017,de
10,Shed a Light                                                                ,Robin Schulz     ,01/02/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,02/02/2017,de
2,Paris                                                                       ,The Chainsmokers ,02/02/2017,de
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02/02/2017,de
4,Castle on the Hill                                                          ,Ed Sheeran       ,02/02/2017,de
5,Solo Dance                                                                  ,Martin Jensen    ,02/02/2017,de
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/02/2017,de
7,Now and Later                                                               ,Sage The Gemini  ,02/02/2017,de
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,02/02/2017,de
9,Alone                                                                       ,Alan Walker      ,02/02/2017,de
10,Scared to Be Lonely                                                         ,Martin Garrix    ,02/02/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,03/02/2017,de
2,Paris                                                                       ,The Chainsmokers ,03/02/2017,de
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/02/2017,de
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/02/2017,de
5,Castle on the Hill                                                          ,Ed Sheeran       ,03/02/2017,de
6,Solo Dance                                                                  ,Martin Jensen    ,03/02/2017,de
7,Now and Later                                                               ,Sage The Gemini  ,03/02/2017,de
8,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,03/02/2017,de
9,Alone                                                                       ,Alan Walker      ,03/02/2017,de
10,Ohne mein Team                                                              ,Bonez MC         ,03/02/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,04/02/2017,de
2,Paris                                                                       ,The Chainsmokers ,04/02/2017,de
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,04/02/2017,de
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04/02/2017,de
5,Solo Dance                                                                  ,Martin Jensen    ,04/02/2017,de
6,Castle on the Hill                                                          ,Ed Sheeran       ,04/02/2017,de
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,04/02/2017,de
8,Now and Later                                                               ,Sage The Gemini  ,04/02/2017,de
9,Alone                                                                       ,Alan Walker      ,04/02/2017,de
10,Scared to Be Lonely                                                         ,Martin Garrix    ,04/02/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,05/02/2017,de
2,Paris                                                                       ,The Chainsmokers ,05/02/2017,de
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,05/02/2017,de
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,05/02/2017,de
5,Solo Dance                                                                  ,Martin Jensen    ,05/02/2017,de
6,Castle on the Hill                                                          ,Ed Sheeran       ,05/02/2017,de
7,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,05/02/2017,de
8,Now and Later                                                               ,Sage The Gemini  ,05/02/2017,de
9,Scared to Be Lonely                                                         ,Martin Garrix    ,05/02/2017,de
10,Alone                                                                       ,Alan Walker      ,05/02/2017,de
1,Shape of You                                                                ,Ed Sheeran       ,06/02/2017,de
2,Paris                                                                       ,The Chainsmokers ,06/02/2017,de
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,06/02/2017,de
4,Castle on the Hill                                                          ,Ed Sheeran       ,06/02/2017,de
5,Solo Dance                                                                  ,Martin Jensen    ,06/02/2017,de
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,06/02/2017,de
7,Scared to Be Lonely                                                         ,Martin Garrix    ,06/02/2017,de
