Position,Track Name,Artist,Date,Country
6,Say You Won't Let Go                                                        ,James Arthur     ,20/01/2017,tw
7,Starboy                                                                     ,The Weeknd       ,20/01/2017,tw
8,Don't Wanna Know                                                            ,Maroon 5         ,20/01/2017,tw
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,20/01/2017,tw
10,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,20/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,21/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,21/01/2017,tw
3,Closer                                                                      ,The Chainsmokers ,21/01/2017,tw
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,21/01/2017,tw
5,Say You Won't Let Go                                                        ,James Arthur     ,21/01/2017,tw
6,Castle on the Hill                                                          ,Ed Sheeran       ,21/01/2017,tw
7,Starboy                                                                     ,The Weeknd       ,21/01/2017,tw
8,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,21/01/2017,tw
9,Don't Wanna Know                                                            ,Maroon 5         ,21/01/2017,tw
10,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,21/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,22/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,22/01/2017,tw
3,Closer                                                                      ,The Chainsmokers ,22/01/2017,tw
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,22/01/2017,tw
5,Say You Won't Let Go                                                        ,James Arthur     ,22/01/2017,tw
6,Castle on the Hill                                                          ,Ed Sheeran       ,22/01/2017,tw
7,Starboy                                                                     ,The Weeknd       ,22/01/2017,tw
8,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,22/01/2017,tw
9,Don't Wanna Know                                                            ,Maroon 5         ,22/01/2017,tw
10,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,22/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,23/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,23/01/2017,tw
3,Closer                                                                      ,The Chainsmokers ,23/01/2017,tw
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,23/01/2017,tw
5,Say You Won't Let Go                                                        ,James Arthur     ,23/01/2017,tw
6,Castle on the Hill                                                          ,Ed Sheeran       ,23/01/2017,tw
7,Stay With Me                                                                ,Chanyeol         ,23/01/2017,tw
8,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,23/01/2017,tw
9,Don't Wanna Know                                                            ,Maroon 5         ,23/01/2017,tw
10,Just Hold On                                                                ,Steve Aoki       ,23/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,24/01/2017,tw
2,Paris                                                                       ,The Chainsmokers ,24/01/2017,tw
