Position,Track Name,Artist,Date,Country
10,Castle on the Hill                                                          ,Ed Sheeran       ,13/01/2017,us
1,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,14/01/2017,us
2,Shape of You                                                                ,Ed Sheeran       ,14/01/2017,us
3,Fake Love                                                                   ,Drake            ,14/01/2017,us
4,Paris                                                                       ,The Chainsmokers ,14/01/2017,us
5,Starboy                                                                     ,The Weeknd       ,14/01/2017,us
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,14/01/2017,us
7,Bounce Back                                                                 ,Big Sean         ,14/01/2017,us
8,Caroline                                                                    ,Aminé           ,14/01/2017,us
9,Black Beatles                                                               ,Rae Sremmurd     ,14/01/2017,us
10,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,14/01/2017,us
1,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,15/01/2017,us
2,Shape of You                                                                ,Ed Sheeran       ,15/01/2017,us
3,Fake Love                                                                   ,Drake            ,15/01/2017,us
4,Paris                                                                       ,The Chainsmokers ,15/01/2017,us
5,Starboy                                                                     ,The Weeknd       ,15/01/2017,us
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,15/01/2017,us
7,Bounce Back                                                                 ,Big Sean         ,15/01/2017,us
8,Caroline                                                                    ,Aminé           ,15/01/2017,us
9,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,15/01/2017,us
10,Black Beatles                                                               ,Rae Sremmurd     ,15/01/2017,us
1,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,16/01/2017,us
2,Shape of You                                                                ,Ed Sheeran       ,16/01/2017,us
3,Fake Love                                                                   ,Drake            ,16/01/2017,us
4,Paris                                                                       ,The Chainsmokers ,16/01/2017,us
5,Starboy                                                                     ,The Weeknd       ,16/01/2017,us
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,16/01/2017,us
7,Bounce Back                                                                 ,Big Sean         ,16/01/2017,us
8,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,16/01/2017,us
9,Caroline                                                                    ,Aminé           ,16/01/2017,us
10,Black Beatles                                                               ,Rae Sremmurd     ,16/01/2017,us
1,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,17/01/2017,us
2,Shape of You                                                                ,Ed Sheeran       ,17/01/2017,us
3,Paris                                                                       ,The Chainsmokers ,17/01/2017,us
