Date,TEMP, VISIB,  WDSP,PRCP  , FRSHTT,Country
20170729,20,6.2,4.8, 0.00I,0,ar
20170730,12,6.1,8.6, 0.02A,10000,ar
20170731,11,6.1,6.4, 0.12G,10000,ar
20170801,13,5.7,4.2, 0.04G,10000,ar
20170802,12,6.1,2.8, 0.02G,0,ar
20170803,12,5.9,2.7, 0.00G,0,ar
20170804,12,6.1,2.7, 0.00I,0,ar
20170805,15,6.2,5.3, 0.00I,0,ar
20170806,17,6.2,5.6, 0.00I,0,ar
20170807,17,6.2,3.1, 0.00I,0,ar
20170808,14,6.2,5.8, 0.24G,10000,ar
20170809,13,6.2,5.5, 0.00G,0,ar
20170810,15,6.2,7.9, 0.00I,0,ar
20170811,16,5.8,7.8, 0.87G,10010,ar
20170812,15,5.7,3.2, 0.24G,10000,ar
20170813,12,6.2,3.2, 0.04G,0,ar
20170814,14,6.2,3.8, 0.00G,0,ar
20170815,15,6.2,3.1, 0.00I,0,ar
20170816,13,6.2,2.1, 0.00I,0,ar
20170817,15,6.2,5, 0.00I,0,ar
20170818,18,6.2,6.4, 0.00I,0,ar
20170819,16,5.9,3.7, 0.39G,10000,ar
20170820,12,6.2,4.2, 0.02G,0,ar
20170821,11,6.2,4.1, 0.00G,0,ar
20170822,13,6.2,11.6, 0.00I,0,ar
20170823,17,6.2,7.5, 0.00I,0,ar
20170824,20,6,3.1, 0.04G,10000,ar
20170825,19,5.8,2.5, 0.12G,10010,ar
20170826,14,5.7,4.8, 0.79G,10000,ar
20170827,15,5.3,3.9, 0.02G,10000,ar
20170828,18,6.1,4.6, 0.00G,0,ar
20170829,19,6.1,4.3, 0.12G,10010,ar
20170830,12,6.1,6.7, 0.01G,10000,ar
20170831,13,6.2,4.9, 0.00G,0,ar
20170901,17,6.2,6.5, 0.00I,0,ar
20170902,21,6.2,3.9, 0.00I,0,ar
20170903,17,5.9,4.4, 0.08G,10010,ar
20170904,13,6,8.3, 0.31G,10000,ar
20170905,12,6.2,4.2, 0.00G,0,ar
20170906,14,6.2,5.2, 0.00I,0,ar
20170907,15,6.2,3.9, 0.00I,0,ar
20170908,15,6.1,4.1, 0.00I,0,ar
20170909,17,5.9,6, 1.89G,10010,ar
20170910,18,6,5.6, 2.32G,10010,ar
20170911,13,6,9.6, 0.98G,10000,ar
20170912,13,6.2,2.7, 0.00G,0,ar
20170913,14,6.2,3.3, 0.00I,0,ar
20170914,17,6.2,2.7, 0.00I,0,ar
20170915,14,6.2,4.7, 0.00I,0,ar
20170916,14,6.2,3.4, 0.00I,0,ar
20170917,16,6.2,2.5, 0.00I,0,ar
20170918,17,6.2,4.3, 0.00I,0,ar
20170919,18,6.2,5, 0.00I,0,ar
20170920,21,6.2,6, 0.00I,0,ar
20170921,13,5.8,7.2, 0.39G,10000,ar
20170922,12,6.2,3.9, 0.63G,10000,ar
20170923,15,6.2,2.1, 0.00G,0,ar
20170924,18,6.2,5.2, 0.00I,0,ar
20170925,19,6.2,2.8, 0.00I,0,ar
20170926,15,6.1,6.7, 0.00H,10000,ar
20170927,12,5.9,6.1, 0.79G,10000,ar
20170928,13,6.2,4.6, 0.00G,0,ar
20170929,16,6.2,4.8, 0.00I,0,ar
20170930,18,6.2,4.2, 0.00I,0,ar
20171001,16,5.7,5, 1.93G,10010,ar
20171002,14,6.2,4.7, 0.24G,10010,ar
20171003,17,6.1,5.1, 0.01G,10000,ar
20171004,20,6.2,9.3, 0.00G,0,ar
20171005,22,6.2,6.5, 0.00I,0,ar
20171006,18,6.2,3.1, 0.00I,0,ar
20171007,16,6.2,7.1, 0.00I,0,ar
20171008,17,6.1,7,99.99,10010,ar
20171009,19,6.1,4.2, 0.02G,10010,ar
20171010,16,6.2,2, 0.00G,10000,ar
20171011,17,6.2,6.1, 0.00G,0,ar
20171012,13,5.5,7.6, 0.59G,10000,ar
20171013,14,6.2,5.1, 0.04G,10000,ar
20171014,16,6.2,3, 0.00G,0,ar
20171015,19,6.2,2.3, 0.00I,0,ar
20171016,21,6.2,5.7, 0.00I,0,ar
20171017,22,6.2,3.2, 0.00I,0,ar
20171018,20,6,4.1, 0.00I,0,ar
20171019,17,6.1,5, 0.39G,10010,ar
20171020,18,6.2,5, 0.00G,0,ar
20171021,18,6,6.9, 0.00G,10000,ar
20171022,13,6.2,4.9, 0.08G,10000,ar
20171023,15,6.2,5.1, 0.00G,0,ar
20171024,20,6.2,4.1, 0.00G,0,ar
20171025,21,6.2,3.1, 0.00I,0,ar
20171026,22,6.2,4.1, 0.00I,0,ar
20171027,18,6,6.6, 0.35G,10000,ar
20171028,17,6.2,3.5, 0.03G,0,ar
20171029,21,6.2,5.2, 0.00G,0,ar
20171030,19,6.1,3.1, 1.10G,10000,ar
20171031,19,6.2,1.6, 0.00G,0,ar
20171101,21,6.2,3.5, 0.00I,0,ar
20171102,19,6.1,6, 0.55A,10010,ar
20171103,20,6.2,4, 0.00I,0,ar
20171104,20,6.2,4.2, 0.00I,0,ar
20171105,21,6.2,4.1, 0.00I,0,ar
20171106,21,6.2,3.8, 0.00I,0,ar
20171107,21,6.1,4.4, 0.00B,10000,ar
20171108,22,6.2,4.8, 0.00G,10000,ar
20171109,22,6.2,5.9, 0.00I,0,ar
20171110,23,6.2,3.5, 0.00I,0,ar
20171111,20,6.2,6.1, 0.00I,0,ar
20171112,21,6.2,2.1, 0.00I,0,ar
20171113,24,6.2,4.2, 0.00I,0,ar
20171114,24,6.2,5.3, 0.00I,0,ar
20171115,26,6.1,4.9, 0.00I,0,ar
20171116,17,6.2,4.8, 0.08G,10,ar
20171117,21,6.2,7, 0.00G,0,ar
20171118,16,6.2,7.2, 0.00I,0,ar
20171119,19,6.2,5.2, 0.00I,0,ar
20171120,15,6,5.6, 0.00G,10000,ar
20171121,16,6.2,4, 0.75G,0,ar
20171122,19,6.2,7, 0.00G,0,ar
20171123,24,6.2,6.6, 0.00G,10000,ar
20171124,16,6.2,5.5, 0.00G,0,ar
20171125,18,6.2,3.4, 0.00I,0,ar
20171126,21,6.2,4, 0.00I,0,ar
20171127,21,6.2,5.9, 0.00I,0,ar
20171128,16,6.2,3.9, 0.00I,0,ar
20171129,21,6.2,4.5, 0.00I,0,ar
20171130,22,6.2,5.5, 0.00I,0,ar
20171201,22,6.2,5.6, 0.00I,0,ar
20171202,23,6.2,5.4, 0.00I,0,ar
20171203,21,5.9,4.3, 0.01G,10000,ar
20171204,20,6.2,5.9, 0.63G,10000,ar
20171205,21,6.2,4.9, 0.00G,0,ar
20171206,24,6.2,6, 0.00I,0,ar
20171207,24,6.2,2.7, 0.00G,0,ar
20171208,25,6.2,4.4, 0.00G,0,ar
20171209,29,6.2,4.1, 0.00I,0,ar
20171210,25,6.2,6, 0.00I,0,ar
20171211,19,6.2,6.2, 0.00I,0,ar
20171212,23,6.2,6.3, 0.00I,0,ar
20171213,25,6.1,3.6,99.99,10000,ar
20171214,25,6.2,4.4, 0.12G,10000,ar
20171215,28,5.5,3.4, 0.00G,0,ar
20171216,28,6.1,5.6, 0.01A,10010,ar
20171217,22,5.2,7.4, 1.89G,10010,ar
20171218,19,6.2,5.4, 0.00G,0,ar
20171219,18,6,6.2, 0.01G,10000,ar
20171220,21,6.2,4.2, 0.47G,0,ar
20171221,26,6.2,5.1, 0.00G,0,ar
20171222,28,6.2,7.1, 0.02G,10,ar
20171223,22,6.1,3.6, 0.43G,10010,ar
20171224,19,6.2,6.2, 0.00G,0,ar
20171225,25,6.2,4.5, 0.00I,0,ar
20171226,29,6.2,5.8, 0.00I,0,ar
20171227,27,6.1,1.6, 0.00G,10000,ar
20171228,28,6.2,3.7, 0.00I,0,ar
20171229,30,6.2,4, 0.00I,0,ar
20171230,31,6.2,3.1, 0.00I,0,ar
20171231,22,6.2,5.9, 0.16G,0,ar
20170101,-3,999.9,3.2, 0.00F,0,at
